Datetime,H1,H2,H3,H4,H5,H6,H7,H8,H10,H11,H12,H13,H14,H15,H16,H17,H18,H20
2014-10-26 01:45:00,0.054,0.13,0.049,0.034,0.384,0.166,0.057,0.062,0.283,0.045,0.38,0.074,0.054,0.384,0.189,0.334,0.222,0.166
2014-10-26 02:00:00,0.074,0.077,0.259,0.047,0.252,0.045,0.084,0.062,0.306,0.045,0.412,0.074,0.074,0.252,0.192,0.183,0.083,0.15
2014-10-26 02:15:00,0.276,0.12,0.069,0.174,0.34,0.041,0.176,0.093,0.437,0.109,0.84,0.224,0.276,0.34,0.092,0.24,0.281,0.218
2014-10-26 02:30:00,0.129,0.111,0.05,0.081,0.308,0.041,0.072,0.332,0.352,0.148,0.769,0.217,0.129,0.308,0.146,0.177,0.393,0.199
2014-10-26 02:45:00,0.054,0.057,0.066,0.034,0.178,0.149,0.057,0.074,0.277,0.045,0.194,0.074,0.054,0.178,0.093,0.388,0.319,0.168
2014-10-26 03:00:00,0.054,0.133,0.286,0.034,0.272,0.14,0.057,0.062,0.282,0.045,0.144,0.074,0.054,0.272,0.058,0.31,0.102,0.122
2014-10-26 03:15:00,0.284,0.041,0.06,0.179,0.095,0.041,0.099,0.11,0.358,0.045,0.959,0.074,0.284,0.095,0.241,0.234,0.085,0.153
2014-10-26 03:30:00,0.131,0.196,0.049,0.083,0.151,0.041,0.179,0.253,0.395,0.185,0.207,0.23,0.131,0.151,0.071,0.126,0.457,0.099
2014-10-26 03:45:00,0.056,0.041,0.049,0.036,0.305,0.041,0.057,0.187,0.287,0.062,0.125,0.212,0.056,0.305,0.19,0.297,0.351,0.044
2014-10-26 04:00:00,0.054,0.1,0.237,0.034,0.33,0.157,0.057,0.062,0.062,0.045,0.125,0.074,0.054,0.33,0.058,0.35,0.204,0.077
2014-10-26 04:15:00,0.213,0.152,0.112,0.134,0.107,0.353,0.057,0.062,0.095,0.045,0.816,0.088,0.213,0.107,0.126,0.189,0.083,0.224
2014-10-26 04:30:00,0.207,0.124,0.049,0.131,0.064,0.268,0.21,0.123,0.201,0.11,0.413,0.088,0.207,0.064,0.187,0.229,0.308,0.054
2014-10-26 04:45:00,0.054,0.041,0.05,0.034,0.217,0.272,0.063,0.322,0.148,0.138,0.126,0.318,0.054,0.217,0.159,0.172,0.366,0.044
2014-10-26 05:00:00,0.054,0.082,0.269,0.034,0.381,0.27,0.057,0.062,0.063,0.045,0.125,0.122,0.054,0.381,0.087,0.328,0.325,0.044
2014-10-26 05:15:00,0.1,0.244,0.081,0.063,0.237,0.421,0.107,0.062,0.062,0.045,0.577,0.074,0.1,0.237,0.058,0.31,0.083,0.247
2014-10-26 05:30:00,0.29,0.041,0.049,0.183,0.064,0.26,0.247,0.062,0.163,0.045,0.668,0.074,0.29,0.064,0.186,0.269,0.276,0.056
2014-10-26 05:45:00,0.085,0.041,0.173,0.054,0.088,0.252,0.273,0.348,0.209,0.193,0.125,0.271,0.085,0.088,0.171,0.094,0.236,0.046
2014-10-26 06:00:00,0.054,0.1,0.07,0.034,0.309,0.258,0.112,0.179,0.074,0.056,0.126,0.154,0.054,0.309,0.192,0.311,0.435,0.044
2014-10-26 06:15:00,0.054,0.231,0.14,0.034,0.442,0.327,0.057,0.062,0.063,0.045,0.613,0.074,0.054,0.442,0.178,0.376,0.179,0.202
2014-10-26 06:30:00,0.232,0.047,0.049,0.146,0.064,0.351,0.163,0.062,0.165,0.045,0.511,0.074,0.232,0.064,0.258,0.184,0.29,0.105
2014-10-26 06:45:00,0.193,0.041,0.19,0.121,0.064,0.257,0.298,0.133,0.157,0.163,0.247,0.135,0.193,0.064,0.266,0.212,0.083,0.044
2014-10-26 07:00:00,0.054,0.07,0.104,0.034,0.278,0.26,0.226,0.312,0.189,0.084,0.374,0.291,0.054,0.278,0.235,0.261,0.37,0.044
2014-10-26 07:15:00,0.054,0.223,0.231,0.034,0.405,0.291,0.177,0.062,0.193,0.045,0.243,0.074,0.054,0.405,0.058,0.286,0.268,0.105
2014-10-26 07:30:00,0.158,0.09,0.06,0.1,0.13,0.376,0.17,0.062,0.246,0.045,0.508,0.074,0.158,0.13,0.058,0.265,0.324,0.202
2014-10-26 07:45:00,0.255,0.044,0.17,0.16,0.064,0.26,0.726,0.062,0.252,0.145,0.323,0.074,0.255,0.064,0.242,0.277,0.111,0.044
2014-10-26 08:00:00,0.057,0.084,0.113,0.036,0.151,0.253,0.303,0.316,0.253,0.099,0.413,0.286,0.057,0.151,0.197,0.346,0.209,0.044
2014-10-26 08:15:00,0.054,0.26,0.15,0.034,0.348,0.179,0.129,0.131,0.136,0.045,0.468,0.209,0.054,0.348,0.058,0.304,0.702,0.072
2014-10-26 08:30:00,0.112,0.221,0.163,0.071,0.543,0.156,0.109,0.062,0.134,0.057,0.635,2.076,0.112,0.543,0.058,0.346,0.675,0.225
2014-10-26 08:45:00,0.272,0.09,0.151,0.172,0.207,0.083,0.094,0.061,0.227,0.175,0.831,0.576,0.272,0.207,1.028,0.419,0.278,0.138
2014-10-26 09:00:00,0.184,0.075,0.163,0.116,0.41,0.041,0.249,0.137,0.212,0.045,0.748,0.751,0.184,0.41,1.012,0.806,0.188,0.158
2014-10-26 09:15:00,0.45,0.136,0.057,0.284,2.028,0.041,0.663,0.341,0.081,0.045,0.996,3.52,0.45,2.028,0.592,0.596,0.662,0.376
2014-10-26 09:30:00,0.198,0.226,0.15,0.124,2.294,0.089,0.205,0.061,0.073,0.045,0.737,5.219,0.198,2.294,0.293,0.419,0.663,0.32
2014-10-26 09:45:00,0.32,0.061,0.057,0.202,0.916,0.153,0.214,0.061,0.275,0.172,0.552,5.244,0.32,0.916,1.565,0.782,0.109,0.305
2014-10-26 10:00:00,0.338,0.42,0.202,0.213,0.503,0.041,0.26,0.061,0.116,0.071,0.254,1.131,0.338,0.503,3.766,0.67,0.27,0.199
2014-10-26 10:15:00,0.127,0.186,0.049,0.08,1.834,0.041,0.553,0.23,0.063,1.697,0.387,0.262,0.127,1.834,3.776,1.311,0.389,0.95
2014-10-26 10:30:00,0.177,0.371,0.121,0.112,2.094,0.053,1.471,0.226,0.063,0.665,0.406,0.13,0.177,2.094,1.691,1.78,0.4,0.984
2014-10-26 10:45:00,0.106,0.073,0.08,0.067,0.402,0.185,0.523,0.062,0.17,0.121,0.423,0.091,0.106,0.402,0.278,0.864,0.083,1.04
2014-10-26 11:00:00,0.154,0.041,0.14,0.097,0.209,0.041,0.213,0.068,0.981,0.123,0.242,0.321,0.154,0.209,0.222,2.359,0.447,0.486
2014-10-26 11:15:00,0.461,0.147,0.118,0.29,0.279,0.041,0.318,0.342,0.311,0.055,0.579,0.082,0.461,0.279,0.187,0.533,0.71,0.044
2014-10-26 11:30:00,0.264,0.277,0.076,0.166,0.351,0.041,0.37,1.204,0.294,0.19,0.359,0.107,0.264,0.351,0.827,0.251,0.589,0.044
2014-10-26 11:45:00,0.302,0.299,1.437,0.19,0.269,0.19,0.26,0.795,0.284,0.327,0.31,0.506,0.302,0.269,1.192,0.163,0.587,0.131
2014-10-26 12:00:00,0.412,0.06,0.075,0.259,0.202,0.045,0.214,0.664,0.403,0.204,3.123,0.811,0.412,0.202,0.33,0.835,0.612,0.17
2014-10-26 12:15:00,0.37,0.186,0.209,0.233,2.459,0.041,0.255,0.56,0.062,0.193,1.04,0.686,0.37,2.459,0.777,0.362,0.625,0.054
2014-10-26 12:30:00,0.381,0.218,0.07,0.24,0.588,0.107,0.308,0.403,0.063,0.3,1.131,0.074,0.381,0.588,3.798,1.066,0.581,0.044
